Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C14",C_402,3,2.2u,C307418
"C10, C9",C_402,2,1u,C52923
"C12, C13, C15, C2, C3, C4, C5, C6, C7, C8",C_402,10,100n,C1525
F1,Fuse_0603,1,fuse,C210357
J1,Type-C-Receptacle-Midmount,1,USB_C_Receptacle_Midmount,C3019717
"R1, R2",R_0402,2,5.1k,C25905
"R3, R4",R_0402,2,27,C25100
"R5, R6",R_0402,2,1k,C11702
R7,R_0402,1,10k,C25744
RST1,SMD_Switch_Reset,1,Switch_Reset,
SBD1,D_schottky_SOD-123,1,D_Schottky,C8598
"SW1, SW2, SW3, SW4, SW5",Encoder_EVQWGD001,5,Input_EVQWGD001,
U1,SOT-23-5,1,TLV75733PDBVR,C485517
U2,RP2040,1,RP2040,C2040
U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVS,C190862
"UG1, UG2, UG3",LED_WS2812B,3,Output_WS2812B,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,12Mhz,C341520
