Designator,Mid X,Mid Y,Rotation,Layer
C1,79.555,-60.425,180.0,bottom
C10,79.95,-50.35,180.0,bottom
C11,78.950216,-61.950216,135.0,bottom
C12,79.675,-62.675,135.0,bottom
C13,80.417462,-63.417462,135.0,bottom
C14,80.105,-82.25,180.0,bottom
C15,80.105,-81.155,180.0,bottom
C2,79.555,-59.375,180.0,bottom
C3,79.555,-58.3,180.0,bottom
C4,79.58,-57.2,180.0,bottom
C5,77.62,-55.775,0.0,bottom
C6,77.62,-56.875,0.0,bottom
C7,77.625,-57.95,0.0,bottom
C8,77.625,-59.0,0.0,bottom
C9,82.25,-44.625,180.0,bottom
F1,79.1,-40.975,270.0,bottom
J1,75.92,-36.35,180.0,bottom
R1,74.175,-40.425,270.0,bottom
R2,77.675,-40.425,270.0,bottom
R3,80.375,-69.4,315.0,bottom
R4,80.45,-67.875,315.0,bottom
R5,75.05,-58.975,315.0,bottom
R6,72.65,-78.575,135.0,bottom
R7,71.868647,-77.779505,135.0,bottom
RST1,76.65,-84.7,0.0,bottom
SBD1,81.2,-40.925,90.0,bottom
SW1,75.382162,-56.554507,1.0,top
SW2,75.382162,-75.554507,1.0,top
SW3,75.382162,-94.554507,1.0,top
SW4,75.382162,-113.554507,1.0,top
SW5,75.382162,-132.554507,1.0,top
U1,82.725,-47.3125,270.0,bottom
U2,75.182798,-65.621537,135.0,bottom
U3,76.614608,-76.871708,225.0,bottom
UG1,76.15,-132.125,0.0,bottom
UG2,76.4,-89.3125,0.0,bottom
UG3,75.92,-46.5,0.0,bottom
Y1,73.175,-57.55,135.0,bottom
